activity	time	p	p_peak	p_smooth
Running	1440.0	6.45223543281662e-5	0.04402262110550772	0.04402262110550772
Playing racquet sports	1440.0	0.0	0.0	0.0
Weightlifting/strength training	1440.0	8.017296464236229e-5	0.05009729195518594	0.05009729195518594
Hiking	1440.0	0.0	0.0	0.0
Biking	1440.0	7.220640556567515e-6	0.008701753124231233	0.008701753124231233
Walking	1440.0	1.2565706643373676e-4	0.027177700828069515	0.027177700828069515
Using cardiovascular equipment	1440.0	1.0571158537768216e-4	0.07931645045328795	0.07931645045328795
Participating in water sports	1440.0	2.2373151386554037e-5	0.006983734958120243	0.006983734958120243
Playing basketball	1440.0	1.763170681425587e-5	0.008436796687099435	0.008436796687099435
Working out, unspecified	1440.0	1.1539793618665326e-4	0.03319353480023598	0.03319353480023598
Skiing, ice skating, snowboarding	1440.0	1.8231001499236595e-6	0.0037754090960263535	0.0037754090960263535
Doing yoga	1440.0	2.6469291728629647e-06	0.006200036533687316	0.006200036533687316
Playing billiards	1440.0	4.2089100963644703e-4	0.5134254285434701	0.5134254285434701
Fishing	1440.0	1.3343625972805836e-4	0.07983265772906203	0.07983265772906203
Dancing	1440.0	6.272396524054221e-4	0.8414057659445843	0.8414057659445843
Playing football	1440.0	6.617817408407484e-6	0.006845925925693272	0.006845925925693272
Vehicle touring/racing	1440.0	3.158883820173926e-5	0.07876065212834672	0.07876065212834672
Softball	1440.0	0.0	0.0	0.0
Playing soccer	1440.0	0.0	0.0	0.0
Doing aerobics	1440.0	1.0266853816933121e-5	0.01678518107256822	0.01678518107256822
Hunting	1440.0	3.982547257188851e-5	0.03664365460965557	0.03664365460965557
Participating in martial arts	1440.0	0.0	0.0	0.0
Bowling	1440.0	1.229118333640891e-4	0.09970945768749105	0.09970945768749105
Rollerblading	1440.0	2.5623259098670696e-5	0.08046941181010205	0.08046941181010205
Golfing	1440.0	1.783552755526157e-5	0.007606589239324879	0.007606589239324879
Playing volleyball	1440.0	0.0	0.0	0.0
Boating	1440.0	2.2323677436280645e-5	0.03314483525763393	0.03314483525763393
Playing baseball	1440.0	0.0	0.0	0.0
Running	1445.0	6.45223543281662e-5	0.04402262110550772	0.04402262110550772
Playing racquet sports	1445.0	0.0	0.0	0.0
Weightlifting/strength training	1445.0	3.881897077178864e-5	0.02425662217717915	0.03325219842851764
Hiking	1445.0	0.0	0.0	0.0
Biking	1445.0	2.7132082955678173e-6	0.003269747133607591	0.005080415797148804
Walking	1445.0	7.670489873153401e-5	0.01659009595669905	0.019888020336142728
Using cardiovascular equipment	1445.0	7.608106266814444e-5	0.05708437552981183	0.05976707240860687
Participating in water sports	1445.0	1.7776668647588853e-5	0.005548951961577365	0.006027212960424991
Playing basketball	1445.0	1.9048457175229543e-5	0.009114713741745857	0.008888741390197049
Working out, unspecified	1445.0	6.821752997774514e-5	0.01962236960321236	0.024623780163790004
Skiing, ice skating, snowboarding	1445.0	0.0	0.0	0.0012584696986754512
Doing yoga	1445.0	0.0	0.0	0.0020666788445624384
Playing billiards	1445.0	3.238743437805269e-4	0.3950792959283793	0.4362702043789772
Fishing	1445.0	1.1809500112698182e-4	0.07065424213551373	0.07371371400002984
Dancing	1445.0	5.582428582193706e-4	0.7488505516222735	0.785933820497676
Playing football	1445.0	6.617817408407484e-6	0.006845925925693272	0.006845925925693272
Vehicle touring/racing	1445.0	2.776750819100577e-5	0.0692329055958256	0.07240882110666598
Softball	1445.0	0.0	0.0	0.0
Playing soccer	1445.0	0.0	0.0	0.0
Doing aerobics	1445.0	1.0266853816933121e-5	0.01678518107256822	0.01678518107256822
Hunting	1445.0	3.594804254137977e-5	0.0330760081352893	0.03426522362674472
Participating in martial arts	1445.0	0.0	0.0	0.0
Bowling	1445.0	9.338959086196509e-5	0.07576020309549647	0.08374328795949466
Rollerblading	1445.0	1.2811629549335348e-5	0.04023470590505102	0.05364627454006803
Golfing	1445.0	1.676041947892501e-5	0.007148071514001951	0.007300910755776261
Playing volleyball	1445.0	0.0	0.0	0.0
Boating	1445.0	2.0182704084569382e-5	0.029966048552979005	0.031025644121197318
Playing baseball	1445.0	0.0	0.0	0.0
Running	1450.0	6.45223543281662e-5	0.04402262110550772	0.04402262110550772
Playing racquet sports	1450.0	0.0	0.0	0.0
Weightlifting/strength training	1450.0	4.065306084284078e-5	0.025402681153187844	0.02396880452225993
Hiking	1450.0	0.0	0.0	0.0
Biking	1450.0	2.7132082955678173e-6	0.003269747133607591	0.0032697471336075915
Walking	1450.0	7.34969430356524e-5	0.01589626422365961	0.0159432154743635
Using cardiovascular equipment	1450.0	5.7176895154450974e-5	0.042900391242720826	0.046372638045115745
Participating in water sports	1450.0	1.7776668647588853e-5	0.005548951961577365	0.005548951961577365
Playing basketball	1450.0	1.9048457175229543e-5	0.009114713741745857	0.009114713741745857
Working out, unspecified	1450.0	7.319961205333475e-5	0.021055436087921663	0.019679521441443467
Skiing, ice skating, snowboarding	1450.0	0.0	0.0	0.0
Doing yoga	1450.0	0.0	0.0	0.002933829954037141
Playing billiards	1450.0	3.2815895021334426e-4	0.4003058886650821	0.3963624731875572
Fishing	1450.0	1.1809500112698182e-4	0.07065424213551373	0.06923705184131455
Dancing	1450.0	5.721790469800852e-4	0.7675451439261705	0.7625351167651374
Playing football	1450.0	6.617817408407484e-6	0.006845925925693272	0.006845925925693272
Vehicle touring/racing	1450.0	2.776750819100577e-5	0.0692329055958256	0.0692329055958256
Softball	1450.0	0.0	0.0	0.0
Playing soccer	1450.0	0.0	0.0	0.0
Doing aerobics	1450.0	1.0266853816933121e-5	0.01678518107256822	0.01678518107256822
Hunting	1450.0	3.594804254137977e-5	0.0330760081352893	0.03235017307811806
Participating in martial arts	1450.0	0.0	0.0	0.0
Bowling	1450.0	9.338959086196509e-5	0.07576020309549647	0.07576020309549647
Rollerblading	1450.0	1.2811629549335348e-5	0.04023470590505102	0.04023470590505102
Golfing	1450.0	1.676041947892501e-5	0.007148071514001951	0.007148071514001951
Playing volleyball	1450.0	0.0	0.0	0.0
Boating	1450.0	2.0182704084569382e-5	0.029966048552979005	0.029966048552979005
Playing baseball	1450.0	0.0	0.0	0.0
Running	1455.0	6.45223543281662e-5	0.04402262110550772	0.04402262110550772
Playing racquet sports	1455.0	0.0	0.0	0.0
Weightlifting/strength training	1455.0	3.560305782544448e-5	0.022247110236412796	0.022654831702356677
Hiking	1455.0	0.0	0.0	0.0
Biking	1455.0	2.7132082955678173e-6	0.003269747133607591	0.0032697471336075915
Walking	1455.0	7.094022967253859e-5	0.015343286242731837	0.014550815628815739
Using cardiovascular equipment	1455.0	5.215597804616716e-5	0.039133147362814584	0.0392157366333488
Participating in water sports	1455.0	1.7776668647588853e-5	0.005548951961577365	0.005548951961577365
Playing basketball	1455.0	1.9048457175229543e-5	0.009114713741745857	0.009114713741745857
Working out, unspecified	1455.0	6.383151616251111e-5	0.01836075863319637	0.019950399803444572
Skiing, ice skating, snowboarding	1455.0	0.0	0.0	0.0
